,date,time,user,message,Sentiment,Score,hour,month,year
32,2022-01-19,15:23,Sa Ga,Brothers our bill payments are live .. please pay bills for free using wave.,Positive,0.6369,15,1,2022
33,2022-01-19,15:23,O A,<Media omitted>,Neutral,0.0,15,1,2022
34,2022-01-19,15:24,O A,U mean our bill at garage oba any bill,Neutral,0.0,15,1,2022
35,2022-01-19,15:24,Sa Ga,Oli musiru,Neutral,0.0,15,1,2022
36,2022-01-19,15:24,Sa Ga,?,Neutral,0.0,15,1,2022
37,2022-01-19,15:25,E I P,<Media omitted>,Neutral,0.0,15,1,2022
38,2022-01-19,15:27,Sa Ga,"So far it is,",Neutral,0.0,15,1,2022
39,2022-01-19,15:28,E I P,Thats dope,Neutral,0.0,15,1,2022
40,2022-01-19,15:29,Sa Ga,So mwena put all your man on WAVE.... Bulabira road has an agent,Neutral,0.0,15,1,2022
41,2022-01-19,15:30,Sa Ga,<Media omitted>,Neutral,0.0,15,1,2022
42,2022-01-19,15:30,E I P,<Media omitted>,Neutral,0.0,15,1,2022
43,2022-01-19,15:39,Sa Ga,There's a premium point opposite capital shoppers,Neutral,0.0,15,1,2022
44,2022-01-19,15:57,O A,Why dont we just become an agent,Neutral,0.0,15,1,2022
45,2022-01-19,15:57,O A,We have capital,Neutral,0.0,15,1,2022
46,2022-01-19,16:22,N B,<Media omitted>,Neutral,0.0,16,1,2022
47,2022-01-19,16:23,O A,Haha eh,Positive,0.4588,16,1,2022
48,2022-01-19,16:24,N B,It's the Polio 😂😂😂,Neutral,0.0,16,1,2022
49,2022-01-19,16:24,Sa Ga,BTW but I can't  be involved,Neutral,0.0,16,1,2022
50,2022-01-19,16:24,O A,<Media omitted>,Neutral,0.0,16,1,2022
51,2022-01-19,16:24,O A,Then lets steal n die,Negative,-0.7964,16,1,2022
52,2022-01-19,16:30,O A,Inno mbu oli out,Neutral,0.0,16,1,2022
53,2022-01-19,16:47,E I P,No sir,Negative,-0.296,16,1,2022
54,2022-01-19,16:47,Dannie3,Nze ndi waweelu,Neutral,0.0,16,1,2022
55,2022-01-19,16:47,E I P,These guys came back today,Neutral,0.0,16,1,2022
56,2022-01-19,16:48,E I P,Have been trapped to drive the white boy,Negative,-0.5267,16,1,2022
57,2022-01-19,16:53,O A,That is very good,Positive,0.4927,16,1,2022
58,2022-01-19,16:54,N B,<Media omitted>,Neutral,0.0,16,1,2022
59,2022-01-19,16:54,O A,Hehe,Neutral,0.0,16,1,2022
60,2022-01-19,16:54,E I P,By 7 i think he will be heading home,Neutral,0.0,16,1,2022
61,2022-01-19,16:55,E I P,Just wano naguru 😂😂,Neutral,0.0,16,1,2022
62,2022-01-19,16:55,O A,Hehe then u also head home,Neutral,0.0,16,1,2022
63,2022-01-19,16:56,E I P,<Media omitted>,Neutral,0.0,16,1,2022
64,2022-01-19,16:56,N B,<Media omitted>,Neutral,0.0,16,1,2022
65,2022-01-19,16:56,O A,<Media omitted>,Neutral,0.0,16,1,2022
66,2022-01-19,16:56,O A,Hehe,Neutral,0.0,16,1,2022
67,2022-01-19,16:58,E I P,<Media omitted>,Neutral,0.0,16,1,2022
68,2022-01-19,16:59,E I P,Panamera wali 😂😂,Neutral,0.0,16,1,2022
69,2022-01-19,16:59,E I P,Wikidi ogimanyi,Neutral,0.0,16,1,2022
70,2022-01-19,16:59,O A,<Media omitted>,Neutral,0.0,16,1,2022
71,2022-01-19,17:00,E I P,Hihihi wama am going home brother soon as am done with this man,Neutral,0.0,17,1,2022
72,2022-01-19,17:04,O A,Very good,Positive,0.4927,17,1,2022
73,2022-01-19,17:05,N B,<Media omitted>,Neutral,0.0,17,1,2022
74,2022-01-19,17:05,O A,<Media omitted>,Neutral,0.0,17,1,2022
75,2022-01-19,17:05,N B,<Media omitted>,Neutral,0.0,17,1,2022
76,2022-01-19,17:06,E I P,<Media omitted>,Neutral,0.0,17,1,2022
77,2022-01-19,17:06,N B,😂😂😂,Neutral,0.0,17,1,2022
78,2022-01-19,17:18,N B,<Media omitted>,Neutral,0.0,17,1,2022
79,2022-01-19,17:18,O A,<Media omitted>,Neutral,0.0,17,1,2022
80,2022-01-19,17:19,E I P,<Media omitted>,Neutral,0.0,17,1,2022
81,2022-01-19,17:21,E I P,<Media omitted>,Neutral,0.0,17,1,2022
82,2022-01-19,17:42,N B,Asawo 14 pro max max 😂😂😂😂,Neutral,0.0,17,1,2022
83,2022-01-19,17:42,E I P,Hehehe,Neutral,0.0,17,1,2022
84,2022-01-19,17:42,N B,Eeeehhh singa kati Kempten kutaka 😂😂😂😂,Neutral,0.0,17,1,2022
85,2022-01-19,18:00,Sa Ga,<Media omitted>,Neutral,0.0,18,1,2022
86,2022-01-19,18:01,E I P,<Media omitted>,Neutral,0.0,18,1,2022
87,2022-01-19,18:03,N B,<Media omitted>,Neutral,0.0,18,1,2022
88,2022-01-19,18:36,O A,"Musama says its his last night, i cannot be home",Neutral,0.0,18,1,2022
89,2022-01-19,18:36,O A,Kati lemi just go smoke my shisha,Neutral,0.0,18,1,2022
90,2022-01-19,18:36,E I P,Hehehe enjoy sir,Positive,0.4939,18,1,2022
91,2022-01-19,18:37,O A,U will cm sir,Neutral,0.0,18,1,2022
92,2022-01-19,18:37,O A,Tewali kyongamba,Neutral,0.0,18,1,2022
93,2022-01-19,18:37,O A,Infact cm we go,Neutral,0.0,18,1,2022
94,2022-01-19,18:37,E I P,Riki is going out for dinner i hear so i thats till late,Neutral,0.0,18,1,2022
95,2022-01-19,18:39,E I P,<Media omitted>,Neutral,0.0,18,1,2022
96,2022-01-19,18:40,E I P,Call pato for backup,Neutral,0.0,18,1,2022
97,2022-01-19,19:04,R P,Hihihihi,Neutral,0.0,19,1,2022
98,2022-01-19,19:05,R P,Fool wants to chill alone,Negative,-0.5994,19,1,2022
99,2022-01-19,19:05,R P,So I left him,Neutral,0.0,19,1,2022
100,2022-01-19,19:05,E I P,<Media omitted>,Neutral,0.0,19,1,2022
101,2022-01-19,19:15,O A,See this goat,Neutral,0.0,19,1,2022
102,2022-01-19,19:15,O A,I called this man n he refused me,Negative,-0.296,19,1,2022
103,2022-01-19,19:26,R P,How,Neutral,0.0,19,1,2022
104,2022-01-19,19:27,O A,Cm we smoke,Neutral,0.0,19,1,2022
105,2022-01-19,19:28,R P,Hihihihi,Neutral,0.0,19,1,2022
106,2022-01-19,19:28,R P,Wea,Neutral,0.0,19,1,2022
107,2022-01-19,19:36,N B,<Media omitted>,Neutral,0.0,19,1,2022
108,2022-01-19,19:36,E I P,Man is at inyamatt,Neutral,0.0,19,1,2022
109,2022-01-19,19:37,R P,He’s not picking up,Neutral,0.0,19,1,2022
110,2022-01-19,20:39,Sa Ga,Mbuki,Neutral,0.0,20,1,2022
111,2022-01-19,22:07,N B,<Media omitted>,Neutral,0.0,22,1,2022
112,2022-01-19,22:07,N B,Tuli wawelu,Neutral,0.0,22,1,2022
113,2022-01-19,22:12,Sa Ga,Ik these babies,Neutral,0.0,22,1,2022
114,2022-01-19,22:12,Sa Ga,They were at mengo,Neutral,0.0,22,1,2022
115,2022-01-19,22:13,N B,Ya,Neutral,0.0,22,1,2022
116,2022-01-19,22:13,N B,For O'level,Neutral,0.0,22,1,2022
117,2022-01-19,22:14,N B,No wait is Mengo Primary,Negative,-0.296,22,1,2022
118,2022-01-19,22:14,N B,I thought Nalya hehehe,Neutral,0.0,22,1,2022
119,2022-01-19,22:14,Sa Ga,Mengo for olevel,Neutral,0.0,22,1,2022
120,2022-01-19,22:14,Sa Ga,That's Gloria and Brenda,Neutral,0.0,22,1,2022
121,2022-01-19,22:14,N B,<Media omitted>,Neutral,0.0,22,1,2022
122,2022-01-19,22:15,N B,I knew u was coocking some bullshit,Negative,-0.5859,22,1,2022
123,2022-01-19,22:15,Sa Ga,😅😅😅,Neutral,0.0,22,1,2022
124,2022-01-19,22:15,N B,"I think the one second one maybe, not sure about her school background",Negative,-0.2411,22,1,2022
125,2022-01-19,22:17,Sa Ga,Okay the second one is called brenda,Positive,0.2263,22,1,2022
126,2022-01-19,22:17,Sa Ga,The first one I dont remember her name,Neutral,0.0,22,1,2022
127,2022-01-19,22:17,Sa Ga,But the second I'm very sure,Positive,0.5251,22,1,2022
128,2022-01-19,22:20,N B,She's called Bridget,Neutral,0.0,22,1,2022
129,2022-01-19,22:42,Sa Ga,Yeah Bridget yes that's the first one,Positive,0.5994,22,1,2022
130,2022-01-19,22:44,R P,Ur asewo max pro max 15,Neutral,0.0,22,1,2022
131,2022-01-19,22:44,Sa Ga,"Pato my brother, even if you don't love me, I love you so much",Negative,-0.7741,22,1,2022
132,2022-01-19,22:45,R P,I guess u already tasted there lips,Neutral,0.0,22,1,2022
133,2022-01-19,22:49,Sa Ga,Where are you even?,Neutral,0.0,22,1,2022
134,2022-01-20,00:46,Sa Ga,<Media omitted>,Neutral,0.0,0,1,2022
135,2022-01-20,00:48,Dannie3,Not seeing shit,Positive,0.4449,0,1,2022
136,2022-01-20,00:54,N B,He means the truck hehehe,Neutral,0.0,0,1,2022
137,2022-01-20,00:56,Dannie3,<Media omitted>,Neutral,0.0,0,1,2022
138,2022-01-20,00:58,Sa Ga,🥲,Neutral,0.0,0,1,2022
139,2022-01-20,00:58,Sa Ga,🤝🏾,Neutral,0.0,0,1,2022
140,2022-01-20,08:35,Sa Ga,Mr oris,Neutral,0.0,8,1,2022
141,2022-01-20,10:07,O A,<Media omitted>,Neutral,0.0,10,1,2022
142,2022-01-20,10:22,O A,@256780377048 🤣🤣🤣🤣🤣🤣🤣🤣,Neutral,0.0,10,1,2022
143,2022-01-20,10:22,O A,<Media omitted>,Neutral,0.0,10,1,2022
144,2022-01-20,10:22,O A,Night trekker,Neutral,0.0,10,1,2022
145,2022-01-20,10:27,N B,He was looking for lips,Neutral,0.0,10,1,2022
146,2022-01-20,10:28,Sa Ga,Anus,Neutral,0.0,10,1,2022
147,2022-01-20,10:28,Sa Ga,😅😅😅😅😅😅,Neutral,0.0,10,1,2022
148,2022-01-20,10:30,N B,<Media omitted>,Neutral,0.0,10,1,2022
149,2022-01-20,10:33,O A,Hahaha u wer gona get an LDU who thinks its still November,Positive,0.5574,10,1,2022
150,2022-01-20,10:57,O A,<Media omitted>,Neutral,0.0,10,1,2022
151,2022-01-20,11:05,R P,Hihihihihi,Neutral,0.0,11,1,2022
152,2022-01-20,11:16,Dannie3,Me I quit,Neutral,0.0,11,1,2022
153,2022-01-20,11:30,R P,<Media omitted>,Neutral,0.0,11,1,2022
154,2022-01-20,12:52,O A,U quit quitting,Neutral,0.0,12,1,2022
155,2022-01-20,12:54,R P,I also wonder,Neutral,0.0,12,1,2022
156,2022-01-20,12:58,Dannie3,I quit quitting to quit,Neutral,0.0,12,1,2022
157,2022-01-20,13:53,Sa Ga,Hehehe,Neutral,0.0,13,1,2022
158,2022-01-20,13:54,O A,Diyo,Neutral,0.0,13,1,2022
159,2022-01-20,13:57,E I P,<Media omitted>,Neutral,0.0,13,1,2022
160,2022-01-20,13:59,O A,Niggis,Neutral,0.0,13,1,2022
161,2022-01-20,13:59,E I P,<Media omitted>,Neutral,0.0,13,1,2022
162,2022-01-20,14:00,O A,<Media omitted>,Neutral,0.0,14,1,2022
163,2022-01-20,14:01,E I P,I need a vape kubanga bano balabika temanyi nti we leave on some these traps aah aah,Negative,-0.0516,14,1,2022
164,2022-01-20,14:02,O A,<Media omitted>,Neutral,0.0,14,1,2022
165,2022-01-20,14:03,E I P,I need smoke 😂😂😂,Neutral,0.0,14,1,2022
166,2022-01-20,14:04,O A,Pato is talking about enjoyments,Positive,0.4588,14,1,2022
167,2022-01-20,14:04,E I P,What those he mean by enjoyments,Positive,0.4588,14,1,2022
168,2022-01-20,14:04,E I P,does*,Neutral,0.0,14,1,2022
169,2022-01-20,14:06,O A,He wants to bamba,Neutral,0.0,14,1,2022
170,2022-01-20,14:07,E I P,<Media omitted>,Neutral,0.0,14,1,2022
171,2022-01-20,14:07,E I P,Seems my new signout time is 10pm,Neutral,0.0,14,1,2022
172,2022-01-20,14:15,O A,That is wonderful,Positive,0.5719,14,1,2022
173,2022-01-20,14:15,E I P,<Media omitted>,Neutral,0.0,14,1,2022
174,2022-01-20,14:15,O A,<Media omitted>,Neutral,0.0,14,1,2022
175,2022-01-20,14:36,R P,How,Neutral,0.0,14,1,2022
176,2022-01-20,14:37,N B,Ambro oli ku office ya mwe ?,Neutral,0.0,14,1,2022
177,2022-01-20,14:52,O A,Ndi ku office,Neutral,0.0,14,1,2022
178,2022-01-20,15:10,E I P,<Media omitted>,Neutral,0.0,15,1,2022
179,2022-01-20,17:51,O A,<Media omitted>,Neutral,0.0,17,1,2022
180,2022-01-20,18:03,E I P,Enjoy sir,Positive,0.4939,18,1,2022
181,2022-01-20,18:03,E I P,Sunday will start smoking at 10am,Neutral,0.0,18,1,2022
182,2022-01-20,18:04,Dannie3,<Media omitted>,Neutral,0.0,18,1,2022
183,2022-01-20,18:05,E I P,Starting with our cigarette pot,Neutral,0.0,18,1,2022
184,2022-01-20,18:05,Dannie3,DunHill . . .  🔥🔥🔥,Neutral,0.0,18,1,2022
185,2022-01-20,18:05,Dannie3,<Media omitted>,Neutral,0.0,18,1,2022
186,2022-01-20,18:06,E I P,No sir i mean our shisha pot,Negative,-0.296,18,1,2022
187,2022-01-20,18:06,E I P,<Media omitted>,Neutral,0.0,18,1,2022
188,2022-01-20,18:06,Dannie3,That boy has been idol of late,Neutral,0.0,18,1,2022
189,2022-01-20,18:11,E I P,Sunday revenge,Negative,-0.5267,18,1,2022
190,2022-01-20,18:11,Dannie3,<Media omitted>,Neutral,0.0,18,1,2022
191,2022-01-20,18:11,E I P,2 days now now smoke my lord,Neutral,0.0,18,1,2022
192,2022-01-20,18:11,Dannie3,Pato will give you back up,Neutral,0.0,18,1,2022
193,2022-01-20,18:11,E I P,No smoking no guiness,Negative,-0.5267,18,1,2022
194,2022-01-20,18:12,E I P,<Media omitted>,Neutral,0.0,18,1,2022
195,2022-01-20,18:12,Dannie3,This is the man who wanted to quit and settle down 😂😂,Neutral,0.0,18,1,2022
196,2022-01-20,18:12,E I P,<Media omitted>,Neutral,0.0,18,1,2022
197,2022-01-20,18:13,E I P,For the settling bit am serious,Negative,-0.0772,18,1,2022
198,2022-01-20,18:13,E I P,The rest we shall see,Neutral,0.0,18,1,2022
199,2022-01-20,18:14,Dannie3,<Media omitted>,Neutral,0.0,18,1,2022
200,2022-01-20,18:15,E I P,Era prepare to see me there Sunday @9am,Neutral,0.0,18,1,2022
201,2022-01-20,18:15,E I P,<Media omitted>,Neutral,0.0,18,1,2022
202,2022-01-20,18:15,Dannie3,Where have you gone,Neutral,0.0,18,1,2022
203,2022-01-20,18:16,E I P,Around but just know traps,Neutral,0.0,18,1,2022
204,2022-01-20,18:17,Dannie3,Kawa . . .  See u on sande,Neutral,0.0,18,1,2022
205,2022-01-20,18:30,R P,He wanted to set down,Neutral,0.0,18,1,2022
206,2022-01-20,18:30,E I P,<Media omitted>,Neutral,0.0,18,1,2022
207,2022-01-20,18:31,R P,Hihihi,Neutral,0.0,18,1,2022
208,2022-01-20,18:31,R P,When are u setting down sir,Neutral,0.0,18,1,2022
209,2022-01-20,18:32,E I P,December kukyala 😂,Neutral,0.0,18,1,2022
210,2022-01-20,18:33,R P,<Media omitted>,Neutral,0.0,18,1,2022
211,2022-01-20,18:34,E I P,<Media omitted>,Neutral,0.0,18,1,2022
212,2022-01-20,18:34,E I P,Oba i ecscape and come smoke 😂😂,Neutral,0.0,18,1,2022
213,2022-01-20,18:34,R P,Ofcuz,Neutral,0.0,18,1,2022
214,2022-01-20,18:35,Dannie3,Actually the man was talking about setting down 😂😂,Neutral,0.0,18,1,2022
215,2022-01-20,18:35,E I P,Muliwa,Neutral,0.0,18,1,2022
216,2022-01-20,18:35,Dannie3,I wonder 😂,Neutral,0.0,18,1,2022
217,2022-01-20,18:35,E I P,I make a deal with this guys guard,Neutral,0.0,18,1,2022
218,2022-01-20,18:36,Dannie3,Man's throat is itching,Neutral,0.0,18,1,2022
219,2022-01-20,18:36,O A,<Media omitted>,Neutral,0.0,18,1,2022
220,2022-01-20,19:00,Sa Ga,Shisha only,Neutral,0.0,19,1,2022
221,2022-01-20,19:01,Sa Ga,Important things like youngins are not being talked about,Positive,0.5106,19,1,2022
222,2022-01-20,19:01,Sa Ga,<Media omitted>,Neutral,0.0,19,1,2022
223,2022-01-20,19:01,E I P,Naye gwe,Neutral,0.0,19,1,2022
224,2022-01-20,19:01,E I P,<Media omitted>,Neutral,0.0,19,1,2022
225,2022-01-20,19:14,Sa Ga,Subategera,Neutral,0.0,19,1,2022
226,2022-01-20,19:14,Sa Ga,We need to feed,Neutral,0.0,19,1,2022
227,2022-01-20,19:15,E I P,<Media omitted>,Neutral,0.0,19,1,2022
228,2022-01-20,19:16,Sa Ga,Just there being chimneys fwaaaaaa,Neutral,0.0,19,1,2022
229,2022-01-20,19:16,Sa Ga,Akasolo kasiwa,Neutral,0.0,19,1,2022
230,2022-01-20,19:17,E I P,Just call spice to spice up your life 😂😂😂,Neutral,0.0,19,1,2022
231,2022-01-20,19:17,E I P,<Media omitted>,Neutral,0.0,19,1,2022
232,2022-01-20,19:17,Sa Ga,<Media omitted>,Neutral,0.0,19,1,2022
233,2022-01-20,19:18,E I P,<Media omitted>,Neutral,0.0,19,1,2022
234,2022-01-20,19:25,Sa Ga,<Media omitted>,Neutral,0.0,19,1,2022
235,2022-01-20,19:27,E I P,My brothers where is that pot @256705248165 @256773296461,Neutral,0.0,19,1,2022
236,2022-01-20,19:42,Dannie3,@256780377048 is operation black smoke on going oba tuyiiye ewalala,Neutral,0.0,19,1,2022
237,2022-01-20,19:55,E I P,<Media omitted>,Neutral,0.0,19,1,2022
238,2022-01-20,21:01,N B,"Brother Ambro, mbu are the Pato's birds fly ???😏",Neutral,0.0,21,1,2022
239,2022-01-20,21:03,E I P,Hehehe,Neutral,0.0,21,1,2022
240,2022-01-20,21:03,E I P,One bird,Neutral,0.0,21,1,2022
241,2022-01-20,21:03,E I P,She can gerrit after beer on a friday night,Neutral,0.0,21,1,2022
242,2022-01-20,21:04,N B,Eeeehhhh brother Inno,Neutral,0.0,21,1,2022
243,2022-01-20,21:04,N B,How did u reach there,Positive,0.0258,21,1,2022
244,2022-01-20,21:05,N B,Thought ur leaving work @10🤔,Neutral,0.0,21,1,2022
245,2022-01-20,21:05,N B,<Media omitted>,Neutral,0.0,21,1,2022
246,2022-01-20,21:12,E I P,<Media omitted>,Neutral,0.0,21,1,2022
247,2022-01-20,21:12,E I P,My boss released me sir,Neutral,0.0,21,1,2022
248,2022-01-20,21:15,N B,<Media omitted>,Neutral,0.0,21,1,2022
249,2022-01-20,21:15,N B,<Media omitted>,Neutral,0.0,21,1,2022
250,2022-01-20,21:15,E I P,Naye enkya boss agenda kusimbula so no bar for me,Negative,-0.4341,21,1,2022
251,2022-01-20,21:15,N B,<Media omitted>,Neutral,0.0,21,1,2022
252,2022-01-20,21:15,N B,<Media omitted>,Neutral,0.0,21,1,2022
253,2022-01-20,21:15,N B,Let's wait and see,Neutral,0.0,21,1,2022
254,2022-01-20,21:16,E I P,Walai even heard the guy asking someone to make him reservations,Neutral,0.0,21,1,2022
255,2022-01-20,21:17,N B,<Media omitted>,Neutral,0.0,21,1,2022
256,2022-01-20,21:18,E I P,Man this week aah aah,Neutral,0.0,21,1,2022
257,2022-01-20,21:18,N B,For us we are waiting to give marks 😂😂,Neutral,0.0,21,1,2022
258,2022-01-20,21:18,E I P,<Media omitted>,Neutral,0.0,21,1,2022
259,2022-01-20,21:23,E I P,Kati watuka waa ne mission pick jersey,Neutral,0.0,21,1,2022
260,2022-01-20,21:28,N B,Will kick it off tomorrow sir. Kiboko will be less hehehehe but let me start the chat now 😁😁😁,Neutral,0.0,21,1,2022
261,2022-01-20,21:29,E I P,<Media omitted>,Neutral,0.0,21,1,2022
262,2022-01-20,21:29,O J,<Media omitted>,Neutral,0.0,21,1,2022
263,2022-01-20,21:38,N B,<Media omitted>,Neutral,0.0,21,1,2022
264,2022-01-20,21:39,Dannie3,<Media omitted>,Neutral,0.0,21,1,2022
265,2022-01-20,22:00,E I P,<Media omitted>,Neutral,0.0,22,1,2022
266,2022-01-20,22:02,Dannie3,Me I want updates on operation black smoke,Positive,0.0772,22,1,2022
267,2022-01-20,22:03,E I P,<Media omitted>,Neutral,0.0,22,1,2022
268,2022-01-20,22:03,Dannie3,<Media omitted>,Neutral,0.0,22,1,2022
269,2022-01-20,22:04,E I P,Naye mwe,Neutral,0.0,22,1,2022
270,2022-01-21,08:08,E I P,<Media omitted>,Neutral,0.0,8,1,2022
271,2022-01-21,08:10,O A,<Media omitted>,Neutral,0.0,8,1,2022
272,2022-01-21,08:14,Dannie3,<Media omitted>,Neutral,0.0,8,1,2022
273,2022-01-21,08:14,Dannie3,GLS,Neutral,0.0,8,1,2022
274,2022-01-21,08:14,Dannie3,<Media omitted>,Neutral,0.0,8,1,2022
275,2022-01-21,08:15,E I P,<Media omitted>,Neutral,0.0,8,1,2022
276,2022-01-21,08:37,E I P,<Media omitted>,Neutral,0.0,8,1,2022
277,2022-01-21,09:00,E I P,This message was deleted,Neutral,0.0,9,1,2022
278,2022-01-21,09:06,E I P,<Media omitted>,Neutral,0.0,9,1,2022
279,2022-01-21,09:17,E I P,Wrong group😂😂😂,Negative,-0.4767,9,1,2022
280,2022-01-21,09:18,O A,<Media omitted>,Neutral,0.0,9,1,2022
281,2022-01-21,09:18,E I P,<Media omitted>,Neutral,0.0,9,1,2022
282,2022-01-21,09:19,O A,<Media omitted>,Neutral,0.0,9,1,2022
283,2022-01-21,09:19,E I P,<Media omitted>,Neutral,0.0,9,1,2022
284,2022-01-21,09:39,Sa Ga,<Media omitted>,Neutral,0.0,9,1,2022
285,2022-01-21,09:40,E I P,<Media omitted>,Neutral,0.0,9,1,2022
286,2022-01-21,09:45,Sa Ga,<Media omitted>,Neutral,0.0,9,1,2022
287,2022-01-21,09:45,E I P,<Media omitted>,Neutral,0.0,9,1,2022
288,2022-01-21,09:46,Sa Ga,<Media omitted>,Neutral,0.0,9,1,2022
289,2022-01-21,09:46,Sa Ga,When is the Orgy,Neutral,0.0,9,1,2022
290,2022-01-21,09:46,Dannie3,Tonight,Neutral,0.0,9,1,2022
291,2022-01-21,09:46,Dannie3,Operation black smoke,Neutral,0.0,9,1,2022
292,2022-01-21,09:46,O A,<Media omitted>,Neutral,0.0,9,1,2022
293,2022-01-21,09:47,E I P,<Media omitted>,Neutral,0.0,9,1,2022
294,2022-01-21,09:47,O A,Band just came closer,Neutral,0.0,9,1,2022
295,2022-01-21,09:47,Dannie3,I wonder,Neutral,0.0,9,1,2022
296,2022-01-21,09:47,E I P,Naye mwe,Neutral,0.0,9,1,2022
297,2022-01-21,09:47,E I P,So spice is bringing her friends,Positive,0.4767,9,1,2022
298,2022-01-21,09:47,E I P,<Media omitted>,Neutral,0.0,9,1,2022
299,2022-01-21,09:48,O A,<Media omitted>,Neutral,0.0,9,1,2022
300,2022-01-21,09:49,Sa Ga,<Media omitted>,Neutral,0.0,9,1,2022
301,2022-01-21,09:49,E I P,But who is senior agent for this operation black smoke😂😂,Neutral,0.0,9,1,2022
302,2022-01-21,09:49,Dannie3,Hard guy brother Daniel,Negative,-0.1027,9,1,2022
303,2022-01-21,09:49,E I P,Tofoya am not going to be available sir 😂😂,Neutral,0.0,9,1,2022
304,2022-01-21,09:50,O A,They will not cm,Neutral,0.0,9,1,2022
305,2022-01-21,09:50,E I P,😂😂😂,Neutral,0.0,9,1,2022
306,2022-01-21,09:51,Dannie3,<Media omitted>,Neutral,0.0,9,1,2022
307,2022-01-21,09:51,Sa Ga,I am also not available sir,Neutral,0.0,9,1,2022
308,2022-01-21,09:51,Dannie3,We know,Neutral,0.0,9,1,2022
309,2022-01-21,09:51,E I P,<Media omitted>,Neutral,0.0,9,1,2022
310,2022-01-21,09:51,Sa Ga,Maybe Mr.oris,Neutral,0.0,9,1,2022
311,2022-01-21,09:51,Sa Ga,<Media omitted>,Neutral,0.0,9,1,2022
312,2022-01-21,09:52,E I P,But spice also stays in entebbe,Neutral,0.0,9,1,2022
313,2022-01-21,09:52,E I P,<Media omitted>,Neutral,0.0,9,1,2022
314,2022-01-21,09:52,Dannie3,I upgraded sir but regardless. Unless if am gonna have all of em to myself. Sounds great,Positive,0.7684,9,1,2022
315,2022-01-21,09:52,O A,They will find walusaga in entebbe on operation black smoke,Neutral,0.0,9,1,2022
316,2022-01-21,09:53,E I P,Operation black smoke eri entebbe 😂😂😂,Neutral,0.0,9,1,2022
317,2022-01-21,09:53,E I P,Omusaga agenda kuba home and away 😂🏃🏾‍♂️🏃🏾‍♂️,Neutral,0.0,9,1,2022
318,2022-01-21,09:53,Sa Ga,<Media omitted>,Neutral,0.0,9,1,2022
319,2022-01-21,09:54,Sa Ga,<Media omitted>,Neutral,0.0,9,1,2022
320,2022-01-21,09:56,E I P,<Media omitted>,Neutral,0.0,9,1,2022
